,Alveolar epithelial cells (Lung),B Cell,Endothelial Cell,Erythrocytes,Mast Cell,Mesenchymal Stem Cell,Myeloid Cell,Myoblast,Non-malignant mesenchymal/stromal population,Osteoblast (non malignant),Osteoblast_subcluster_0,Osteoblast_subcluster_1,Osteoblast_subcluster_2,Osteoblast_subcluster_3,Osteoblast_subcluster_4,Osteoblast_subcluster_5,Osteoclast,Plasma Cell,Plasmacytoid dendritic cells (pDCs),T/NK Cell
3274,0.07388965,0.034940533,0.3401042,0.021720236,0.038542993,0.17226593,0.08725082,0.042517755,0.04422274,0.04171312,0.20195115,0.24682535,0.23268555,0.1409375,0.22258292,0.2242763,0.1461599,0.031751994,0.08460314,0.02510028
3275,1.9176164,0.0006115345,0.0005014513,0.0054533565,0.00058339245,0.0009343578,5.0905255e-05,0.0064359102,0.0007432735,0.00035124962,0.0025311331,0.0022993754,0.0024735802,0.0015353636,0.0033176653,0.0056589125,0.0022405004,0.00031311208,0.0016352921,7.0622904e-05
3276,0.0132030295,0.19290069,0.011088698,0.007098674,0.090876795,0.12840296,0.13307446,0.014203828,0.040939227,0.033323042,0.15753578,0.19684261,0.08272902,0.1337142,0.2150533,0.11656062,0.11438614,0.094972335,0.27658,0.20884725
3278,0.0029846558,0.0015444773,0.38697687,0.011895064,0.00074281765,0.014834192,0.0017013567,0.19492832,0.012643589,0.012083562,0.034718134,0.03317992,0.017908165,0.011691089,0.026745783,0.021731867,0.002756971,0.0023830258,0.0015814571,0.0009105883
3279,0.0035967263,0.00048408966,0.0002681636,0.0065890015,0.097330436,0.000279148,0.000108905966,0.007426774,0.0018303893,0.0021047473,0.00045451458,0.0013684003,0.0003457438,0.007908073,0.0019113183,0.0025065946,0.0001426488,0.0003043981,0.0018845552,0.002189365
3280,0.0043936414,0.003617283,0.0028451711,0.005090445,0.0004974853,0.005086565,0.0015696553,0.0143307205,0.0068818545,0.01208279,0.02581998,0.12922913,0.01789208,0.015749192,0.038197976,0.03547531,0.005283277,0.0049005663,0.0021076289,0.001229263
3281,0.046640996,0.0062451614,0.0479794,0.018692594,0.0039218706,0.034509413,0.02621657,0.10487755,0.029052585,0.025029667,0.0804597,0.1271951,0.11650008,0.049314957,0.09306436,0.09965398,0.111403786,0.009251496,0.02679526,0.004056059
3282,0.012635896,0.0046748947,0.020783905,0.006441653,0.0009282797,0.036751688,0.004028906,0.020247374,0.025992282,0.018413907,0.052932136,0.07549135,0.05311208,0.020298801,0.053341705,0.059339687,0.0070937406,0.00064188393,0.003262604,0.009453057
3283,0.050662987,0.15327185,0.010659785,0.014868078,0.044015363,0.026131317,0.089504495,0.13165888,0.029240998,0.020115186,0.09132116,0.1019551,0.05514842,0.043256328,0.14607324,0.052616015,0.055264916,0.067426436,0.14648493,0.08037514
3284,0.0022118448,0.00046277765,0.00015553363,0.00562895,0.00036927062,0.00018591389,0.00011001506,0.0059554703,0.00010145281,0.00014632902,7.890669e-05,0.0003061027,0.00043105145,0.0007273031,0.0022207939,0.0014970942,9.4057985e-05,0.000920754,0.0016988075,0.008469733
3286,1.2763678,0.18232752,0.45907795,0.06489835,0.10171486,0.529689,0.3203582,0.43512687,0.2673283,0.22731827,0.8095761,1.0546163,0.8593713,0.6116229,0.9242101,0.9992468,0.7566187,0.2079337,0.21827374,0.14707589
3287,0.41055298,0.023502963,0.061616797,0.0139457015,0.028779406,0.16789196,0.049972575,0.07320124,0.04139649,0.027244765,0.14592496,0.16795316,0.17848593,0.15022688,0.15367597,0.24114352,0.23338056,0.035484463,0.027835043,0.026338961
3288,1.7750534,0.19069691,0.46152556,0.48671442,0.11227847,0.6989564,0.52896535,2.2303684,0.45981568,0.32681838,1.9214368,3.5359068,2.8404422,1.1458799,1.81077,3.715917,4.4193597,0.21980262,0.24977408,0.093235746
3289,0.44328004,0.39824024,0.63469046,0.16696016,0.3463658,1.405803,0.76207507,3.0055778,0.5873501,0.39983785,3.003412,5.312194,4.0010514,2.3561425,2.7505822,5.7554464,5.676434,0.4256496,0.6785843,0.27966455
3290,0.09084006,0.04044853,0.1501822,0.013870825,0.042954452,0.19137731,0.049462963,0.79468924,0.09614532,0.051074162,0.4327025,0.70939684,0.5531936,0.40695468,0.39649254,0.6693905,0.31471896,0.04444683,0.080376655,0.034367085
3291,0.002839467,0.0003641628,0.061704546,0.004371212,0.00082930573,0.047568053,0.00021949896,0.041226685,0.01915354,0.011920446,0.06881891,0.0270986,0.03611339,0.041986,0.04700043,0.018311745,0.18171611,0.00028591766,0.0022830435,0.00018796964
